Session	Date	Start Time	End Time	Location	Section Title	Presentation Order	Session Name 	Session ID on Underline	PID	Title	Author	Length	Category	Oral (pref)
Session 3	2023-12-08	15:00	15:15	West 1	Ethics in NLP	5	Ethics in NLP		4588	Deciphering Stereotypes in Pre-Trained Language Models	"Weicheng Ma,Henry Scheible,Brian C Wang,Goutham Veeramachaneni,Pratim Chowdhary,Alan Sun,Andrew Koulogeorge,Lili Wang,Diyi Yang,Soroush Vosoughi"	Long	Oral 	In Person
Session 3	2023-12-08	15:15	15:30	West 1	Ethics in NLP	6	Ethics in NLP		5571	Copyright Violations and Large Language Models	"Antonia Karamolegkou,Jiaang Li,Li Zhou,Anders Søgaard"	Long	Oral 	In Person
Session 3	2023-12-08	14:00	14:15	West 2	"Phonology, Morphology, and Word Segmentation"	1	"Phonology, Morphology, and Word Segmentation"		1370	Cognate Transformer for Automated Phonological Reconstruction and Cognate Reflex Prediction	"V.S.D.S.Mahesh Akavarapu,Arnab Bhattacharya"	Long	Oral 	In Person
Session 3	2023-12-08	14:15	14:30	West 2	"Phonology, Morphology, and Word Segmentation"	2	"Phonology, Morphology, and Word Segmentation"		2194	Understanding Compositional Data Augmentation in Typologically Diverse Morphological Inflection	"Farhan Samir,Miikka Silfverberg"	Long	Oral 	In Person
Session 3	2023-12-08	14:30	14:45	West 2	"Phonology, Morphology, and Word Segmentation"	3	"Phonology, Morphology, and Word Segmentation"		3217	TopWORDS-Poetry: Simultaneous Text Segmentation and Word Discovery for Classical Chinese Poetry via Bayesian Inference	"Changzai Pan,Feiyue Li,Ke Deng"	Long	Oral 	In Person
Session 3	2023-12-08	14:45	15:00	West 2	"Phonology, Morphology, and Word Segmentation"	4	"Phonology, Morphology, and Word Segmentation"		3422	Improved Unsupervised Chinese Word Segmentation Using Pre-trained Knowledge and Pseudo-labeling Transfer	"Hsiu-Wen Li,Ying-Jia Lin,Yi-Ting Li,Chun Yi Lin,Hung-Yu Kao"	Long	Oral 	In Person
Session 3	2023-12-08	15:00	15:15	West 2	"Phonology, Morphology, and Word Segmentation"	5	"Phonology, Morphology, and Word Segmentation"		4648	Exploring Linguistic Probes for Morphological Inflection	"Jordan Kodner,Salam Khalifa,Sarah Ruth Brogden Payne"	Long	Oral 	In Person
Session 3	2023-12-08	15:15	15:30	West 2	"Phonology, Morphology, and Word Segmentation"	6	"Phonology, Morphology, and Word Segmentation"		CL 2336	On the Role of Morphological Information for Contextual Lemmatization	"Olia Toporkov, Rodrigo Agerri"	Long	Oral 	In Person
Session 3	2023-12-08	14:00	14:15	West 3	Information Extraction 2	1	Information Extraction 2		842	ViStruct: Visual Structural Knowledge Extraction via Curriculum Guided Code-Vision Representation	"Yangyi Chen,Xingyao Wang,Manling Li,Derek Hoiem,Heng Ji"	Long	Oral 	In Person
Session 3	2023-12-08	14:15	14:30	West 3	Information Extraction 2	2	Information Extraction 2		1730	CorefPrompt: Prompt-based Event Coreference Resolution by Measuring Event Type and Argument Compatibilities	"Sheng Xu,PEIFENG LI,Qiaoming Zhu"	Long	Oral 	In Person
Session 3	2023-12-08	14:30	14:45	West 3	Information Extraction 2	3	Information Extraction 2		2310	Continual Event Extraction with Semantic Confusion Rectification	"Zitao Wang,Xinyi Wang,Wei Hu"	Long	Oral 	In Person
Session 3	2023-12-08	14:45	15:00	West 3	Information Extraction 2	4	Information Extraction 2		3359	CORE: A Few-Shot Company Relation Classification Dataset for Robust Domain Adaptation.	"Philipp Borchert,Jochen De Weerdt,Kristof Coussement,Arno De Caigny,Marie-Francine Moens"	Long	Oral 	In Person
Session 3	2023-12-08	15:00	15:15	West 3	Information Extraction 2	5	Information Extraction 2		4416	SpEL: Structured Prediction for Entity Linking	"Hassan Shavarani,Anoop Sarkar"	Long	Oral 	In Person
Session 3	2023-12-08	15:15	15:30	West 3	Information Extraction 2	6	Information Extraction 2		ARR 89	TIMELINE: Exhaustive Annotation of Temporal Relations Supporting the Automatic Ordering of Events in News Articles	"Sarah Alsayyahi,Riza Batista-Navarro"	Long	Oral 	Virtually
Session 4	2023-12-08	16:00	16:15	East	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	1	"Interpretability, Interactivity, and Analysis of Models for NLP 1"		60	Dissecting Recall of Factual Associations in Auto-Regressive Language Models	"Mor Geva,Jasmijn Bastings,Katja Filippova,Amir Globerson"	Long	Oral 	In Person
Session 4	2023-12-08	16:15	16:30	East	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	2	"Interpretability, Interactivity, and Analysis of Models for NLP 1"		148	Interpreting Embedding Spaces by Conceptualization	"Adi Simhi,Shaul Markovitch"	Long	Oral 	In Person
Session 4	2023-12-08	16:30	16:45	East	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	3	"Interpretability, Interactivity, and Analysis of Models for NLP 1"		901	Norm of Word Embedding Encodes Information Gain	"Momose Oyama,Sho Yokoi,Hidetoshi Shimodaira"	Long	Oral 	In Person
Session 4	2023-12-08	16:45	17:00	East	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	4	"Interpretability, Interactivity, and Analysis of Models for NLP 1"		1489	Assessing Step-by-Step Reasoning against Lexical Negation: A Case Study on Syllogism	"Mengyu Ye,Tatsuki Kuribayashi,Jun Suzuki,Goro Kobayashi,Hiroaki Funayama"	Long	Oral 	In Person
Session 4	2023-12-08	17:00	17:15	East	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	5	"Interpretability, Interactivity, and Analysis of Models for NLP 1"		1568	Can LLMs Facilitate Interpretation of Pre-trained Language Models?	"Basel Mousi,Nadir Durrani,Fahim Dalvi"	Long	Oral 	In Person
Session 4	2023-12-08	17:15	17:30	East	"Interpretability, Interactivity, and Analysis of Models for NLP 1"	6	"Interpretability, Interactivity, and Analysis of Models for NLP 1"		1823	Can You Follow Me? Testing Situational Understanding for ChatGPT	"Chenghao Yang,Allyson Ettinger"	Long	Oral 	Virtually
Session 4	2023-12-08	16:00	16:15	Central  1	"Language Grounding to Vision, Robotics and Beyond"	1	"Language Grounding to Vision, Robotics and Beyond"		1214	Models See Hallucinations: Evaluating the Factuality in Video Captioning	"Hui Liu,Xiaojun Wan"	Long	Oral 	In-Person
Session 4	2023-12-08	16:15	16:30	Central  1	"Language Grounding to Vision, Robotics and Beyond"	2	"Language Grounding to Vision, Robotics and Beyond"		1456	Describe Me an Auklet: Generating Grounded Perceptual Category Descriptions	"Bill Noble,Nikolai Ilinykh"	Long	Oral 	In-Person
Session 4	2023-12-08	16:30	16:45	Central  1	"Language Grounding to Vision, Robotics and Beyond"	3	"Language Grounding to Vision, Robotics and Beyond"		1846	"Reading Books is Great, But Not if You Are Driving! Visually Grounded Reasoning about Defeasible Commonsense Norms"	"Seungju Han,Junhyeok Kim,Jack Hessel,Liwei Jiang,Jiwan Chung,Yejin Son,Yejin Choi,Youngjae Yu"	Long	Oral 	In-Person
Session 4	2023-12-08	16:45	17:00	Central  1	"Language Grounding to Vision, Robotics and Beyond"	4	"Language Grounding to Vision, Robotics and Beyond"		2129	Bridging the Digital Divide: Performance Variation across Socio-Economic Factors in Vision-Language Models	"Joan Nwatu,Oana Ignat,Rada Mihalcea"	Long	Oral 	In-Person
Session 4	2023-12-08	17:00	17:15	Central  1	"Language Grounding to Vision, Robotics and Beyond"	5	"Language Grounding to Vision, Robotics and Beyond"		4958	3DRP-Net: 3D Relative Position-aware Network for 3D Visual Grounding	"Zehan Wang,Haifeng Huang,Yang Zhao,Linjun Li,Xize Cheng,Yichen Zhu,Aoxiong Yin,Zhou Zhao"	Long	Oral 	Virtually
Session 4	2023-12-08	17:15	17:30	Central  1	"Language Grounding to Vision, Robotics and Beyond"	6	"Language Grounding to Vision, Robotics and Beyond"		4977	Localizing Active Objects from Egocentric Vision with Symbolic World Knowledge	"Te-Lin Wu,Yu Zhou,Nanyun Peng"	Long	Oral 	In-Person
Session 4	2023-12-08	16:00	16:15	Central 3	Language Modeling and Analysis of Language Models 1	1	Language Modeling and Analysis of Language Models 1		144	FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation	"Sewon Min,Kalpesh Krishna,Xinxi Lyu,Mike Lewis,Scott Yih,Pang Wei Koh,Mohit Iyyer,Luke Zettlemoyer,Hannaneh Hajishirzi"	Long	Oral 	In Person
Session 4	2023-12-08	16:15	16:30	Central 3	Language Modeling and Analysis of Language Models 1	2	Language Modeling and Analysis of Language Models 1		518	ViSoBERT: A Pre-Trained Language Model for Vietnamese Social Media Text Processing	"Nam Quoc Nguyen,Thang Chau Phan,Duc-Vu Nguyen,Kiet Van Nguyen"	Long	Oral 	In Person
Session 4	2023-12-08	16:30	16:45	Central 3	Language Modeling and Analysis of Language Models 1	3	Language Modeling and Analysis of Language Models 1		809	Navigating the Grey Area: How Expressions of Uncertainty and Overconfidence Affect Language Models	"Kaitlyn Zhou,Dan Jurafsky,Tatsunori Hashimoto"	Long	Oral 	In Person
Session 4	2023-12-08	16:45	17:00	Central 3	Language Modeling and Analysis of Language Models 1	4	Language Modeling and Analysis of Language Models 1		851	CodeT5+: Open Code Large Language Models for Code Understanding and Generation	"Yue Wang,Hung Le,Akhilesh Deepak Gotmare,Nghi D. Q. Bui,Junnan Li,Steven Hoi"	Long	Oral 	In Person
Session 4	2023-12-08	17:00	17:15	Central 3	Language Modeling and Analysis of Language Models 1	5	Language Modeling and Analysis of Language Models 1		2169	MAGNIFICo: Evaluating the In-Context Learning Ability of Large Language Models to Generalize to Novel Interpretations	"Arkil Patel,Satwik Bhattamishra,Siva Reddy,Dzmitry Bahdanau"	Long	Oral 	In Person
Session 4	2023-12-08	17:15	17:30	Central 3	Language Modeling and Analysis of Language Models 1	6	Language Modeling and Analysis of Language Models 1		3049	CombLM: Adapting Black-Box Language Models through Small Fine-Tuned Models	"Aitor Ormazabal,Mikel Artetxe,Eneko Agirre"	Long	Oral 	Virtually
Session 4	2023-12-08	16:00	16:15	West 1	Information Retrieval and Text Mining	1	Information Retrieval and Text Mining		132	Hybrid Inverted Index Is a Robust Accelerator for Dense Retrieval	"Peitian Zhang,Zheng Liu,Shitao Xiao,Zhicheng Dou,Jing Yao"	Long	Oral 	In Person
Session 4	2023-12-08	16:15	16:30	West 1	Information Retrieval and Text Mining	2	Information Retrieval and Text Mining		758	Robust Prompt Optimization for Large Language Models Against Distribution Shifts	"Moxin Li,Wenjie Wang,Fuli Feng,Yixin Cao,Jizhi Zhang,Tat-Seng Chua"	Long	Oral 	In Person
Session 4	2023-12-08	16:30	16:45	West 1	Information Retrieval and Text Mining	3	Information Retrieval and Text Mining		1453	WSDMS: Debunk Fake News via Weakly Supervised Detection of Misinforming Sentences with Contextualized Social Wisdom	"Ruichao Yang,Wei Gao,Jing Ma,Hongzhan Lin,Zhiwei Yang"	Long	Oral 	In Person
Session 4	2023-12-08	16:45	17:00	West 1	Information Retrieval and Text Mining	4	Information Retrieval and Text Mining		2702	Learning to Describe for Predicting Zero-shot Drug-Drug Interactions	"Fangqi Zhu,Yongqi Zhang,Lei Chen,Bing Qin,Ruifeng Xu"	Long	Oral 	In Person
Session 4	2023-12-08	17:00	17:15	West 1	Information Retrieval and Text Mining	5	Information Retrieval and Text Mining		3543	Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents	"Weiwei Sun,Lingyong Yan,Xinyu Ma,Shuaiqiang Wang,Pengjie Ren,Zhumin Chen,Dawei Yin,Zhaochun Ren"	Long	Oral 	In Person
Session 4	2023-12-08	17:15	17:30	West 1	Information Retrieval and Text Mining	6	Information Retrieval and Text Mining		4273	Goal-Driven Explainable Clustering via Language Descriptions	"Zihan Wang,Jingbo Shang,Ruiqi Zhong"	Long	Oral 	Virtually
Session 4	2023-12-08	16:00	16:15	West 2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"	1	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"		3278	Information Value: Measuring Utterance Predictability as Distance from Plausible Alternatives	"Mario Giulianelli,Sarenne Wallbridge,Raquel Fernández"	Long	Oral 	In Person
Session 4	2023-12-08	16:15	16:30	West 2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"	2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"		3298	Addressing Linguistic Bias through a Contrastive Analysis of Academic Writing in the NLP Domain	"Robert Ridley,Zhen Wu,Jianbing Zhang,Shujian Huang,Xinyu Dai"	Long	Oral 	In Person
Session 4	2023-12-08	16:30	16:45	West 2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"	3	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"		4037	The neural dynamics of word recognition and integration	"Jon Gauthier,Roger P. Levy"	Long	Oral 	Virtually
Session 4	2023-12-08	16:45	17:00	West 2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"	4	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"		4831	Quantifying the redundancy between prosody and text	"Lukas Wolf,Tamar I Regev,Ethan Wilcox,Alex Warstadt,Eghbal A. Hosseini,Tiago Pimentel,Ryan Cotterell,Evelina Fedorenko"	Long	Oral 	In Person
Session 4	2023-12-08	17:00	17:15	West 2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"	5	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"		ARR 1	Interpreting and Exploiting Functional Specialization in Multi-Head Attention under Multi-task Learning	"Chong Li,Shaonan Wang,Yunhao Zhang,Jiajun Zhang,Chengqing Zong"	Long	Oral 	In Person
Session 4	2023-12-08	17:15	17:30	West 2	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"	6	"Linguistic Theories, Cognitive Modeling and Psycholinguistics"		ARR 66	Assessing the influence of attractor-verb distance on grammatical agreement in humans and language models	"Christos Nikolaos Zacharopoulos,Théo Desbordes,Mathias Sablé-Meyer"	Long	Oral 	In Person
Session 4	2023-12-08	16:00	16:15	West 3	Dialogue and Interactive Systems 2	1	Dialogue and Interactive Systems 2		2607	Just Adjust One Prompt: Enhancing In-Context Dialogue Scoring via Constructing the Optimal Subgraph of Demonstrations and Prompts	"Jiashu Pu,ling Cheng,Lu Fan,Tangjie Lv,Rongsheng Zhang"	Long	Oral 	In Person
