Session	Date	Start Time	End Time	Location	Presentation Order	PID-old	PID	Title	Author	Session Title	Oral(pref)	Track	Category	Length
Session 3	2023-12-08	15:15	15:30	Central  1	6	4277	4277	Large Language Models Can Self-Improve	"Jiaxin Huang,Shixiang Shane Gu,Le Hou,Yuexin Wu,Xuezhi Wang,Hongkun Yu,Jiawei Han"	Commonsense Reasoning	In Person	Commonsense Reasoning	Main-Oral	Long
Session 3	2023-12-08	14:00	14:15	Central 3	1	623	623	Learning to Predict Task Transferability via Soft Prompt	Lingyun Feng	Efficient Methods for NLP 1	In Person	Efficient Methods for NLP 1	Main-Oral	Long
Session 3	2023-12-08	14:15	14:30	Central 3	2	1419	1419	Byte Pair Encoding for Symbolic Music	"Nathan Fradet,Nicolas Gutowski,Fabien Chhel,Jean-Pierre Briot"	Efficient Methods for NLP 1	In Person	Efficient Methods for NLP 1	Main-Oral	Long
Session 3	2023-12-08	14:30	14:45	Central 3	3	3695	3695	Understanding the Effect of Model Compression on Social Bias in Large Language Models	"Gustavo Gonçalves,Emma Strubell"	Efficient Methods for NLP 1	Virtually	Efficient Methods for NLP 1	Main-Oral	Long
Session 3	2023-12-08	14:45	15:00	Central 3	4	3813	3813	Knowledge Distillation ≈ Label Smoothing: Fact or Fallacy?	Md Arafat Sultan	Efficient Methods for NLP 1	Virtually	Efficient Methods for NLP 1	Main-Oral	Long
Session 3	2023-12-08	15:00	15:15	Central 3	5	4107	4107	The Framework Tax: Disparities Between Inference Efficiency in NLP Research and Deployment	"Jared Fernandez,Jacob Kahn,Clara Na,Yonatan Bisk,Emma Strubell"	Efficient Methods for NLP 1	In Person	Efficient Methods for NLP 1	Main-Oral	Long
Session 3	2023-12-08	15:15	15:30	Central 3	6	5189	5189	Making Large Language Models Better Data Creators	"Dong-Ho Lee,Jay Pujara,Mohit Sewak,Ryen W White,Sujay Kumar Jauhar"	Efficient Methods for NLP 1	In Person	Efficient Methods for NLP 1	Main-Oral	Long
Session 3	2023-12-08	14:00	14:15	West 1	1	400	400	TrojanSQL: SQL Injection against Natural Language Interface to Database	"Jinchuan Zhang,Yan Zhou,Binyuan Hui,Yaxin Liu,Ziming Li,Songlin Hu"	Ethics in NLP	In Person	Ethics in NLP	Main-Oral	Long
Session 3	2023-12-08	14:15	14:30	West 1	2	441	441	ToViLaG: Your Visual-Language Generative Model is Also An Evildoer	"Xinpeng Wang,Xiaoyuan Yi,Han Jiang,Shanlin Zhou,Zhihua Wei,Xing Xie"	Ethics in NLP	In Person	Ethics in NLP	Main-Oral	Long
Session 3	2023-12-08	14:30	14:45	West 1	3	1066	1066	ROBBIE: Robust Bias Evaluation of Large Generative Language Models	"David Esiobu,Xiaoqing Tan,Saghar Hosseini,Megan Ung,Yuchen Zhang,Jude Fernandes,Jane Dwivedi-Yu,Eleonora Presani,Adina Williams,Eric Michael Smith"	Ethics in NLP	In Person	Ethics in NLP	Main-Oral	Long
Session 3	2023-12-08	14:45	15:00	West 1	4	3725	3725	We are Who We Cite: Bridges of Influence Between Natural Language Processing and Other Academic Fields	"Jan Philip Wahle,Terry Ruas,Mohamed Abdalla,Bela Gipp,Saif M. Mohammad"	Ethics in NLP	In Person	Ethics in NLP	Main-Oral	Long
Session 3	2023-12-08	15:00	15:15	West 1	5	4588	4588	Deciphering Stereotypes in Pre-Trained Language Models	"Weicheng Ma,Henry Scheible,Brian C Wang,Goutham Veeramachaneni,Pratim Chowdhary,Alan Sun,Andrew Koulogeorge,Lili Wang,Diyi Yang,Soroush Vosoughi"	Ethics in NLP	In Person	Ethics in NLP	Main-Oral	Long
Session 3	2023-12-08	15:15	15:30	West 1	6	5571	5571	Copyright Violations and Large Language Models	"Antonia Karamolegkou,Jiaang Li,Li Zhou,Anders Søgaard"	Ethics in NLP	In Person	Ethics in NLP	Main-Oral	Long
